% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.391498999e+02 +3.391498999e+02 +3.222098999e+02 +3.222098999e+02 +1.5625e+00 -3.4398e+00 +2.6310e+00 -2.0815e+00 -4.8457e+00 -9.5218e-01 -2.4990e+00 +3.1376e+00 -3.5772e+00 -1.0235e+00
2 +3.223031388e+01 +3.223031388e+01 +1.529031388e+01 +1.529031388e+01 -2.7180e-01 +4.9314e+00 -2.3781e+00 -1.3469e+00 -4.5002e+00 +2.5435e+00 +2.4152e+00 +1.5716e+00 -1.1307e-01 +1.6973e+00
8 +2.441226870e+01 +2.441226870e+01 +7.472268696e+00 +7.472268696e+00 +2.0138e+00 +4.5233e+00 +2.1233e+00 -3.5254e+00 -1.7554e+00 -4.6722e+00 +8.1264e-01 -2.8280e+00 -2.4161e+00 -3.1391e+00
11 +1.143685663e+01 +1.143685663e+01 -5.503143365e+00 -5.503143365e+00 +1.6311e+00 +1.4114e+00 -4.9979e+00 +3.2038e+00 +2.2393e+00 +1.0090e+00 -1.3939e+00 -4.1464e-01 +4.2374e+00 -4.0743e+00
13 +5.848147173e+00 +5.848147173e+00 -1.109185283e+01 -1.109185283e+01 +3.2730e+00 +4.6036e-01 -1.6764e+00 +1.1225e+00 +3.3838e+00 -2.6176e+00 +2.3642e+00 -4.8253e+00 -2.5179e+00 -1.1666e+00
1143 +3.391606949e+00 +3.391606949e+00 -1.354839305e+01 -1.354839305e+01 +1.9113e+00 +2.4138e+00 -9.2946e-01 +2.2769e+00 +5.7084e-01 -2.2089e+00 +2.9301e+00 -2.0267e+00 -1.6493e-01 -3.2466e+00
1856 +2.484699639e+00 +2.484699639e+00 -1.445530036e+01 -1.445530036e+01 +3.2708e+00 +2.4527e+00 -7.3163e-01 +2.5331e+00 +5.2101e-01 -2.2879e+00 +2.4395e+00 -1.7379e+00 -2.7262e-01 -1.6266e+00
2245 +1.527091618e+00 +1.527091618e+00 -1.541290838e+01 -1.541290838e+01 +3.8881e+00 +2.6610e+00 -2.7519e+00 +1.6604e+00 +2.0953e+00 -2.2114e+00 +3.6863e+00 -2.8740e+00 -3.2077e-01 -1.2514e+00
2855 +8.612284374e-01 +8.612284374e-01 -1.607877156e+01 -1.607877156e+01 +3.3850e+00 +2.3123e+00 -1.9536e+00 +1.6037e+00 +1.8940e+00 -1.9815e+00 +3.9617e+00 -1.6165e+00 -9.0899e-01 -2.3326e+00
3704 +5.756813709e-01 +5.756813709e-01 -1.636431863e+01 -1.636431863e+01 +3.6441e+00 +2.5916e+00 -1.2073e+00 +1.6438e+00 +1.2166e+00 -1.5166e+00 +3.3879e+00 -2.2666e+00 -6.2761e-01 -2.0559e+00
